sourcename, date
g23p440,  59884.68383101852
g23p657,  59855.778761574074
g23p657,  59884.52798611111
g23p82,  59859.76600694445
g23p885,  59862.65158564815
g23p901,  59861.612592592595
g23p986,  59861.62274305556
g23p996,  59859.74008101852
g24p148,  59856.78962962963
g24p148,  59884.71607638889
g24p329,  59857.64215277778
g24p329,  59862.662141203706
g24p329,  59869.69123842593
g24p329,  59879.74076388889
g24p329,  59884.72725694445
g24p461,  59859.7755787037
g24p461,  59879.75011574074
g24p541,  59859.78554398148
g24p541,  59861.60120370371
g24p541,  59863.70700231481
g24p541,  59883.580659722225
g24p631,  59862.682662037034
g24p635,  59862.67188657408
g24p676,  59854.60907407408
g24p676,  59880.63759259259
g24p791,  59862.69359953704
g24p850,  59862.704050925924
g24p943,  59854.59916666667
g24p943,  59884.73773148148
g25p226,  59854.5890162037
g25p226,  59884.747777777775
g25p270,  59862.7146875
g25p407,  59857.6515625
g25p411,  59862.72618055555
g25p494,  59862.76298611111
g25p613,  59862.74134259259
g25p65,  59858.6700462963
g25p65,  59864.78512731481
g25p65,  59873.59108796297
g25p65,  59882.530636574076
g25p710,  59862.737337962964
g25p710,  59869.70410879629
g25p838,  59862.75200231482
g29p961,  59852.664351851854
g29p961,  59873.57096064815
g29p993,  59859.67791666667
g30p010,  59859.68788194445
g30p198,  59857.8365625
g30p398,  59859.66795138889
g30p423,  59861.82162037037
g25p920,  59852.730219907404
g25p920,  59859.79550925926
g26p422,  59852.69258101852
g26p422,  59859.80547453704
g26p545,  59852.71140046296
g26p545,  59870.67637731481
g26p552,  59861.799988425926
g26p598,  59862.77369212963
g26p648,  59858.67328703704
g27p011,  59852.72081018519
g27p011,  59882.535162037035
g27p500,  59859.81543981482
g27p757,  59858.66063657407
g27p757,  59884.7674537037
g27p78,  59862.80422453704
g27p784,  59862.78434027778
g27p869,  59862.79471064815
g28p201,  59852.70199074074
g28p201,  59884.777546296296
g28p201,  59884.777546296296
g28p226,  59857.80825231481
g28p321,  59864.788310185184
g28p321,  59880.64730324074
g28p39,  59857.817557870374
g28p523,  59866.72217592593
g28p532,  59852.683171296296
g28p687,  59861.80987268518
g28p700,  59864.79766203704
g28p817,  59866.71287037037
g28p842,  59864.80701388889
g28p842,  59880.657060185185
g28p86,  59866.7031712963
g28p929,  59858.651284722226
g28p929,  59879.7599537037
g29p32,  59852.67376157407
g29p32,  59873.58060185185
g29p581,  59858.641875
g29p603,  59864.81675925926
g29p724,  59857.82686342593
g29p955,  59859.66415509259
g29p955,  59869.700833333336
g69p540,  59887.94818287037
g69p540,  59887.940625
g69p540,  59852.53603009259
g69p540,  59854.99982638889
g69p540,  59857.52355324074
g69p540,  59858.48065972222
g69p540,  59860.60251157408
g69p540,  59861.87289351852
g69p540,  59862.52715277778
g69p540,  59864.46791666667
g69p540,  59866.56314814815
g69p540,  59867.93171296296
g69p540,  59870.62771990741
g69p540,  59873.49935185185
g69p540,  59876.429606481484
g69p540,  59878.44488425926
g69p540,  59879.46030092592
g69p540,  59880.44174768519
g69p540,  59880.44174768519
g69p540,  59883.478854166664
g69p540,  59884.444085648145
g30p542,  59858.63246527778
g30p58,  59859.65418981481
g30p622,  59859.64461805556
g30p771,  59857.84591435185
g30p851,  59852.65494212963
g30p851,  59870.63976851852
g30p960,  59861.83200231481
g30p963,  59852.645532407405
g30p963,  59870.655023148145
g30p973,  59858.61376157407
g30p973,  59871.69467592592
g30p980,  59858.62311342593
g30p980,  59883.55930555556
g31p047,  59859.57512731481
g31p059,  59864.60025462963
g31p182,  59856.80868055556
g31p253,  59859.62054398148
g31p253,  59884.67287037037
g31p276,  59864.609606481485
g31p395,  59856.799155092594
g31p581,  59866.614016203705
g31p975,  59857.5721412037
g31p975,  59879.4871412037
g32p082,  59863.754895833335
g32p105,  59866.585960648146
g32p515,  59864.58155092593
g32p515,  59884.795023148145
g32p516,  59858.595
g32p516,  59883.52082175926
g32p704,  59852.63612268519
g32p704,  59869.55842592593
g32p802,  59857.62327546296
g32p802,  59880.66780092593
g32p821,  59858.585648148146
g32p825,  59859.565775462965
g32p825,  59883.54956018519
g32p914,  59857.632581018515
g32p914,  59880.67737268518
g32p917,  59864.590902777774
g32p917,  59880.68701388889
g32p963,  59857.85108796296
g32p963,  59880.706296296295
g32p965,  59856.75152777778
g32p965,  59880.69665509259
g33p09,  59870.616689814815
g33p199,  59861.84217592593
g33p199,  59883.539988425924
g33p204,  59866.60466435185
g33p317,  59856.770578703705
g33p317,  59863.72620370371
g33p317,  59880.7159375
g33p424,  59856.78010416667
g33p424,  59863.73572916666
g33p424,  59884.805439814816
g33p634,  59855.8028125
g33p634,  59870.6062962963
g33p648,  59857.60505787037
g33p648,  59862.53157407408
g33p648,  59863.745254629626
g33p648,  59869.54907407407
g33p648,  59880.484664351854
g33p648,  59883.5303125
g33p74,  59857.595358796294
g33p74,  59874.69736111111
g33p85,  59852.62671296296
g33p85,  59863.80255787037
g33p85,  59880.74673611111
g33p980,  59857.58605324074
g33p980,  59872.76840277778
g34p257,  59857.86054398148
g34p257,  59874.67859953704
g34p396,  59855.65408564815
g34p396,  59870.586597222224
g34p751,  59864.55784722222
g34p751,  59880.73548611111
g34p757,  59855.631203703706
g34p757,  59870.5765625
g34p822,  59855.59523148148
g34p822,  59862.57121527778
g34p822,  59878.63773148148
